ID,State,State Abbreviation,Region,Year,Gender,EducationLevelofMother,EducationLevel,NumberOfBirths,AverageAgeOfMother ,AverageBirthWeight ,LowBirthWeight
4689,Texas,TX,Southwest,2019,F,High school graduate,3,52532,26.2,3144.9,No
4690,Texas,TX,Southwest,2019,F,Some college credit,4,38908,27.8,3169,No
4691,Texas,TX,Southwest,2019,F,Associate degree,5,12251,29.5,3197.9,No
4692,Texas,TX,Southwest,2019,F,Bachelor's degree,6,34324,31.3,3232.8,No
4693,Texas,TX,Southwest,2019,F,Master's degree,7,13243,32.8,3208.3,No
4694,Texas,TX,Southwest,2019,F,Doctorate,8,3874,33.8,3199.1,No
4695,Texas,TX,Southwest,2019,F,Not Stated,9,480,29.3,3082.7,Yes
4696,Texas,TX,Southwest,2019,M,8th grade or less,1,6515,29,3269.1,No
4697,Texas,TX,Southwest,2019,M,9th through 12th grade,2,23447,25.6,3224.8,No
4698,Texas,TX,Southwest,2019,M,High school graduate,3,54944,26.1,3247.3,No
4699,Texas,TX,Southwest,2019,M,Some college credit,4,40533,27.8,3280,No
4700,Texas,TX,Southwest,2019,M,Associate degree,5,12687,29.6,3299.5,No
4701,Texas,TX,Southwest,2019,M,Bachelor's degree,6,36496,31.3,3347.1,No
4702,Texas,TX,Southwest,2019,M,Master's degree,7,13858,32.9,3329.3,No
4703,Texas,TX,Southwest,2019,M,Doctorate,8,4010,33.8,3315.5,No
4704,Texas,TX,Southwest,2019,M,Not Stated,9,497,29.1,3154.4,No
4705,Texas,TX,Southwest,2020,F,8th grade or less,1,5603,29.1,3179.6,No
4706,Texas,TX,Southwest,2020,F,9th through 12th grade,2,20459,25.6,3132.6,No
4707,Texas,TX,Southwest,2020,F,High school graduate,3,52472,26.3,3149.8,No
4708,Texas,TX,Southwest,2020,F,Some college credit,4,37683,27.9,3174.7,No
4709,Texas,TX,Southwest,2020,F,Associate degree,5,12187,29.5,3180.6,No
4710,Texas,TX,Southwest,2020,F,Bachelor's degree,6,34198,31.3,3238.2,No
4711,Texas,TX,Southwest,2020,F,Master's degree,7,12841,33,3207.4,No
4712,Texas,TX,Southwest,2020,F,Doctorate,8,3638,34,3183.8,No
4713,Texas,TX,Southwest,2020,F,Not Stated,9,636,29.2,3002.5,Yes
4714,Texas,TX,Southwest,2020,M,8th grade or less,1,5784,29.2,3284.4,No
4715,Texas,TX,Southwest,2020,M,9th through 12th grade,2,21630,25.6,3229.6,No
4716,Texas,TX,Southwest,2020,M,High school graduate,3,54950,26.2,3255.4,No
4717,Texas,TX,Southwest,2020,M,Some college credit,4,38872,27.9,3281.6,No
4718,Texas,TX,Southwest,2020,M,Associate degree,5,12753,29.6,3304.4,No
4719,Texas,TX,Southwest,2020,M,Bachelor's degree,6,36278,31.3,3348.7,No
4720,Texas,TX,Southwest,2020,M,Master's degree,7,13653,32.9,3328.5,No
4721,Texas,TX,Southwest,2020,M,Doctorate,8,3903,34,3327,No
4722,Texas,TX,Southwest,2020,M,Not Stated,9,650,29.1,3188.9,No
4723,Texas,TX,Southwest,2021,F,8th grade or less,1,5535,29,3157.2,No
4724,Texas,TX,Southwest,2021,F,9th through 12th grade,2,19060,25.6,3124.1,No
4725,Texas,TX,Southwest,2021,F,High school graduate,3,53328,26.4,3143.8,No
4726,Texas,TX,Southwest,2021,F,Some college credit,4,36770,28.1,3165.2,No
4727,Texas,TX,Southwest,2021,F,Associate degree,5,12882,29.6,3182.2,No
4728,Texas,TX,Southwest,2021,F,Bachelor's degree,6,36122,31.3,3231.5,No
4729,Texas,TX,Southwest,2021,F,Master's degree,7,13974,32.9,3208.6,No
4730,Texas,TX,Southwest,2021,F,Doctorate,8,4096,34,3185,No
4731,Texas,TX,Southwest,2021,F,Not Stated,9,813,30,3084.4,Yes
4732,Texas,TX,Southwest,2021,M,8th grade or less,1,5925,29,3235.3,No
4733,Texas,TX,Southwest,2021,M,9th through 12th grade,2,19711,25.6,3213.4,No
4734,Texas,TX,Southwest,2021,M,High school graduate,3,55462,26.3,3239.4,No
4735,Texas,TX,Southwest,2021,M,Some college credit,4,38140,28.2,3279.2,No
4736,Texas,TX,Southwest,2021,M,Associate degree,5,13549,29.6,3289.5,No
4737,Texas,TX,Southwest,2021,M,Bachelor's degree,6,38187,31.3,3336.6,No
4738,Texas,TX,Southwest,2021,M,Master's degree,7,14899,33,3319.3,No
4739,Texas,TX,Southwest,2021,M,Doctorate,8,4277,34,3305.4,No
4740,Texas,TX,Southwest,2021,M,Not Stated,9,864,29.8,3124.7,No
4741,Utah,UT,West,2016,F,8th grade or less,1,371,31.2,3183.9,No
4742,Utah,UT,West,2016,F,9th through 12th grade,2,1767,25.3,3123.9,No
4743,Utah,UT,West,2016,F,High school graduate,3,4806,26.3,3156.5,No
4744,Utah,UT,West,2016,F,Some college credit,4,6144,28,3210.8,No
4745,Utah,UT,West,2016,F,Associate degree,5,2844,29.2,3232.2,No
4746,Utah,UT,West,2016,F,Bachelor's degree,6,6556,30,3267.3,No
4747,Utah,UT,West,2016,F,Master's degree,7,1250,32.5,3239.5,No
4748,Utah,UT,West,2016,F,Doctorate,8,349,33.4,3154.2,No
4749,Utah,UT,West,2016,F,Not Stated,9,607,29.6,3179.1,No
4750,Utah,UT,West,2016,M,8th grade or less,1,415,30.7,3239.6,No
4751,Utah,UT,West,2016,M,9th through 12th grade,2,1847,25.3,3181.8,No
4752,Utah,UT,West,2016,M,High school graduate,3,4912,26.4,3266.7,No
4753,Utah,UT,West,2016,M,Some college credit,4,6416,28,3330.7,No
4754,Utah,UT,West,2016,M,Associate degree,5,2907,28.9,3340.5,No
4755,Utah,UT,West,2016,M,Bachelor's degree,6,6862,30,3402.9,No
4756,Utah,UT,West,2016,M,Master's degree,7,1428,32.5,3350.3,No
4757,Utah,UT,West,2016,M,Doctorate,8,304,33.6,3381.8,No
4758,Utah,UT,West,2016,M,Not Stated,9,679,29.4,3208.8,No
4759,Utah,UT,West,2017,F,8th grade or less,1,372,31.8,3188.3,No
4760,Utah,UT,West,2017,F,9th through 12th grade,2,1667,25.2,3115,No
4761,Utah,UT,West,2017,F,High school graduate,3,4565,26.5,3156.4,No
4762,Utah,UT,West,2017,F,Some college credit,4,5950,28,3189.4,No
4763,Utah,UT,West,2017,F,Associate degree,5,2617,29,3220,No
4764,Utah,UT,West,2017,F,Bachelor's degree,6,6360,30,3248.2,No
4765,Utah,UT,West,2017,F,Master's degree,7,1271,32.6,3235.1,No
4766,Utah,UT,West,2017,F,Doctorate,8,306,33.3,3148.8,No
4767,Utah,UT,West,2017,F,Not Stated,9,341,28.8,3106.6,No
4768,Utah,UT,West,2017,M,8th grade or less,1,418,30.8,3223,No
4769,Utah,UT,West,2017,M,9th through 12th grade,2,1695,25.3,3192,No
4770,Utah,UT,West,2017,M,High school graduate,3,4971,26.4,3276.4,No
4771,Utah,UT,West,2017,M,Some college credit,4,6330,27.9,3324,No
4772,Utah,UT,West,2017,M,Associate degree,5,2803,29,3367.5,No
4773,Utah,UT,West,2017,M,Bachelor's degree,6,6744,30,3399.8,No
4774,Utah,UT,West,2017,M,Master's degree,7,1409,32.6,3370.5,No
4775,Utah,UT,West,2017,M,Doctorate,8,342,33.5,3350,No
4776,Utah,UT,West,2017,M,Not Stated,9,424,29.3,3167.8,No
4777,Utah,UT,West,2018,F,8th grade or less,1,302,31.2,3122.2,No
4778,Utah,UT,West,2018,F,9th through 12th grade,2,1504,25.5,3094.1,Yes
4779,Utah,UT,West,2018,F,High school graduate,3,4535,26.4,3160.7,No
4780,Utah,UT,West,2018,F,Some college credit,4,5579,28.1,3213.1,No
4781,Utah,UT,West,2018,F,Associate degree,5,2529,29,3238,No
4782,Utah,UT,West,2018,F,Bachelor's degree,6,6408,30.2,3266.8,No
4783,Utah,UT,West,2018,F,Master's degree,7,1263,32.5,3245.9,No
4784,Utah,UT,West,2018,F,Doctorate,8,288,33.8,3140.6,No
4785,Utah,UT,West,2018,F,Not Stated,9,592,29.3,3136.2,No
4786,Utah,UT,West,2018,M,8th grade or less,1,330,31.3,3249.7,No
4787,Utah,UT,West,2018,M,9th through 12th grade,2,1570,25.3,3189.2,No
4788,Utah,UT,West,2018,M,High school graduate,3,4787,26.4,3243,No
4789,Utah,UT,West,2018,M,Some college credit,4,5872,27.9,3317,No
4790,Utah,UT,West,2018,M,Associate degree,5,2659,29.1,3359.7,No
4791,Utah,UT,West,2018,M,Bachelor's degree,6,6570,29.9,3392.2,No
4792,Utah,UT,West,2018,M,Master's degree,7,1393,32.6,3388.2,No
4793,Utah,UT,West,2018,M,Doctorate,8,328,33.4,3340.2,No
4794,Utah,UT,West,2018,M,Not Stated,9,700,29.5,3214,No
4795,Utah,UT,West,2019,F,8th grade or less,1,302,31,3089.9,Yes
4796,Utah,UT,West,2019,F,9th through 12th grade,2,1355,25.6,3098.5,Yes
4797,Utah,UT,West,2019,F,High school graduate,3,4571,26.5,3142,No
4798,Utah,UT,West,2019,F,Some college credit,4,5498,28,3178.3,No
4799,Utah,UT,West,2019,F,Associate degree,5,2452,29.1,3231.5,No
4800,Utah,UT,West,2019,F,Bachelor's degree,6,6345,30,3244.3,No
4801,Utah,UT,West,2019,F,Master's degree,7,1288,32.4,3222.3,No
4802,Utah,UT,West,2019,F,Doctorate,8,337,34,3224.2,No
4803,Utah,UT,West,2019,F,Not Stated,9,738,29.6,3131.4,No
4804,Utah,UT,West,2019,M,8th grade or less,1,259,30.8,3197.8,No
4805,Utah,UT,West,2019,M,9th through 12th grade,2,1485,25.4,3190.3,No
4806,Utah,UT,West,2019,M,High school graduate,3,4654,26.6,3224.6,No
4807,Utah,UT,West,2019,M,Some college credit,4,5745,28.1,3308.6,No
4808,Utah,UT,West,2019,M,Associate degree,5,2474,29,3329,No
4809,Utah,UT,West,2019,M,Bachelor's degree,6,6795,30.1,3386.8,No
4810,Utah,UT,West,2019,M,Master's degree,7,1406,32.7,3352.6,No
4811,Utah,UT,West,2019,M,Doctorate,8,293,33.8,3273.3,No
4812,Utah,UT,West,2019,M,Not Stated,9,829,29.6,3258.1,No
4813,Utah,UT,West,2020,F,8th grade or less,1,250,30.6,3147.5,No
4814,Utah,UT,West,2020,F,9th through 12th grade,2,1306,25.4,3078.9,Yes
4815,Utah,UT,West,2020,F,High school graduate,3,4328,26.6,3148.2,No
4816,Utah,UT,West,2020,F,Some college credit,4,5256,28.1,3181.7,No
4817,Utah,UT,West,2020,F,Associate degree,5,2360,29,3237.2,No
4818,Utah,UT,West,2020,F,Bachelor's degree,6,6203,30,3251.2,No
4819,Utah,UT,West,2020,F,Master's degree,7,1355,32.7,3253.6,No
4820,Utah,UT,West,2020,F,Doctorate,8,344,34.1,3209,No
4821,Utah,UT,West,2020,F,Not Stated,9,634,29.4,3120,No
4822,Utah,UT,West,2020,M,8th grade or less,1,264,30.2,3253.2,No
4823,Utah,UT,West,2020,M,9th through 12th grade,2,1373,25.3,3180.6,No
4824,Utah,UT,West,2020,M,High school graduate,3,4643,26.7,3252.9,No
4825,Utah,UT,West,2020,M,Some college credit,4,5583,28.1,3305.6,No
4826,Utah,UT,West,2020,M,Associate degree,5,2549,29,3350.8,No
4827,Utah,UT,West,2020,M,Bachelor's degree,6,6693,30.1,3394.7,No
4828,Utah,UT,West,2020,M,Master's degree,7,1458,32.3,3359.5,No
4829,Utah,UT,West,2020,M,Doctorate,8,353,33.3,3346.2,No
4830,Utah,UT,West,2020,M,Not Stated,9,750,29.6,3245.5,No
4831,Utah,UT,West,2021,F,8th grade or less,1,251,29.5,3142.5,No
4832,Utah,UT,West,2021,F,9th through 12th grade,2,1233,25.7,3080.1,Yes
4833,Utah,UT,West,2021,F,High school graduate,3,4663,26.7,3134.2,No
4834,Utah,UT,West,2021,F,Some college credit,4,5231,28.1,3198,No
4835,Utah,UT,West,2021,F,Associate degree,5,2338,29.1,3210.2,No
4836,Utah,UT,West,2021,F,Bachelor's degree,6,6684,30.1,3253,No
4837,Utah,UT,West,2021,F,Master's degree,7,1575,32.1,3222.6,No
4838,Utah,UT,West,2021,F,Doctorate,8,367,34.1,3197.8,No
4839,Utah,UT,West,2021,F,Not Stated,9,587,30.1,3115.6,No
4840,Utah,UT,West,2021,M,8th grade or less,1,235,30.6,3258.3,No
4841,Utah,UT,West,2021,M,9th through 12th grade,2,1284,25.1,3173.7,No
4842,Utah,UT,West,2021,M,High school graduate,3,4730,26.7,3252.3,No
4843,Utah,UT,West,2021,M,Some college credit,4,5509,28.1,3296.6,No
4844,Utah,UT,West,2021,M,Associate degree,5,2437,29,3328.5,No
4845,Utah,UT,West,2021,M,Bachelor's degree,6,6982,30.2,3365.6,No
4846,Utah,UT,West,2021,M,Master's degree,7,1640,32.1,3367.4,No
4847,Utah,UT,West,2021,M,Doctorate,8,370,33.4,3301,No
4848,Utah,UT,West,2021,M,Not Stated,9,596,30,3264.1,No
4849,Vermont,VT,Northeast,2016,F,8th grade or less,1,19,29,3030.4,Yes
4850,Vermont,VT,Northeast,2016,F,9th through 12th grade,2,173,24.6,3098.3,Yes
4851,Vermont,VT,Northeast,2016,F,High school graduate,3,730,26.5,3213.4,No
4852,Vermont,VT,Northeast,2016,F,Some college credit,4,505,27.8,3333.8,No
4853,Vermont,VT,Northeast,2016,F,Associate degree,5,206,29.9,3353.7,No
4854,Vermont,VT,Northeast,2016,F,Bachelor's degree,6,688,31.7,3355,No
4855,Vermont,VT,Northeast,2016,F,Master's degree,7,356,33.2,3326.6,No
4856,Vermont,VT,Northeast,2016,F,Doctorate,8,98,34.2,3334.4,No
4857,Vermont,VT,Northeast,2016,F,Not Stated,9,25,29.2,3063.8,Yes
4858,Vermont,VT,Northeast,2016,M,8th grade or less,1,18,28.7,3273.6,No
4859,Vermont,VT,Northeast,2016,M,9th through 12th grade,2,198,24.9,3224.4,No
4860,Vermont,VT,Northeast,2016,M,High school graduate,3,706,26.3,3335.6,No
4861,Vermont,VT,Northeast,2016,M,Some college credit,4,541,27.9,3417.2,No
4862,Vermont,VT,Northeast,2016,M,Associate degree,5,235,30.4,3477,No
4863,Vermont,VT,Northeast,2016,M,Bachelor's degree,6,734,31.6,3526.5,No
4864,Vermont,VT,Northeast,2016,M,Master's degree,7,396,33.2,3460.9,No
4865,Vermont,VT,Northeast,2016,M,Doctorate,8,109,33.9,3372.8,No
4866,Vermont,VT,Northeast,2016,M,Not Stated,9,19,31.3,3346.6,No
4867,Vermont,VT,Northeast,2017,F,8th grade or less,1,26,31.1,3278.8,No
4868,Vermont,VT,Northeast,2017,F,9th through 12th grade,2,159,24.3,3080.3,Yes
4869,Vermont,VT,Northeast,2017,F,High school graduate,3,717,26.3,3228.5,No
4870,Vermont,VT,Northeast,2017,F,Some college credit,4,490,28.6,3264,No
4871,Vermont,VT,Northeast,2017,F,Associate degree,5,207,29.7,3370.8,No
4872,Vermont,VT,Northeast,2017,F,Bachelor's degree,6,691,31.8,3345.6,No
4873,Vermont,VT,Northeast,2017,F,Master's degree,7,372,33.5,3336.7,No
4874,Vermont,VT,Northeast,2017,F,Doctorate,8,103,34.1,3311.5,No
4875,Vermont,VT,Northeast,2017,F,Not Stated,9,19,29.1,3085.4,Yes
4876,Vermont,VT,Northeast,2017,M,8th grade or less,1,19,28.4,3272.7,No
4877,Vermont,VT,Northeast,2017,M,9th through 12th grade,2,193,24.3,3180.6,No
4878,Vermont,VT,Northeast,2017,M,High school graduate,3,695,26.7,3373.8,No
4879,Vermont,VT,Northeast,2017,M,Some college credit,4,516,28.2,3448.8,No
4880,Vermont,VT,Northeast,2017,M,Associate degree,5,206,30.4,3458.4,No
4881,Vermont,VT,Northeast,2017,M,Bachelor's degree,6,744,31.6,3495.1,No
4882,Vermont,VT,Northeast,2017,M,Master's degree,7,375,33.5,3434.4,No
4883,Vermont,VT,Northeast,2017,M,Doctorate,8,108,34.2,3435.9,No
4884,Vermont,VT,Northeast,2017,M,Not Stated,9,15,29.5,3454.4,No
4885,Vermont,VT,Northeast,2018,F,8th grade or less,1,22,33.8,3215.7,No
4886,Vermont,VT,Northeast,2018,F,9th through 12th grade,2,170,24.4,3125.6,No
4887,Vermont,VT,Northeast,2018,F,High school graduate,3,628,26.7,3207.4,No
4888,Vermont,VT,Northeast,2018,F,Some college credit,4,482,28.1,3267.3,No
4889,Vermont,VT,Northeast,2018,F,Associate degree,5,238,30.2,3253.9,No
4890,Vermont,VT,Northeast,2018,F,Bachelor's degree,6,653,32.1,3348.9,No
4891,Vermont,VT,Northeast,2018,F,Master's degree,7,339,33.6,3376.3,No
4892,Vermont,VT,Northeast,2018,F,Doctorate,8,110,33.8,3315.8,No
4893,Vermont,VT,Northeast,2018,F,Not Stated,9,24,30,3205.6,No
4894,Vermont,VT,Northeast,2018,M,8th grade or less,1,19,32.8,3459,No
4895,Vermont,VT,Northeast,2018,M,9th through 12th grade,2,200,24.5,3270.7,No
4896,Vermont,VT,Northeast,2018,M,High school graduate,3,674,27.1,3330.6,No
4897,Vermont,VT,Northeast,2018,M,Some college credit,4,500,28.3,3431.1,No
4898,Vermont,VT,Northeast,2018,M,Associate degree,5,210,30.4,3471.5,No
4899,Vermont,VT,Northeast,2018,M,Bachelor's degree,6,688,31.7,3464.7,No
4900,Vermont,VT,Northeast,2018,M,Master's degree,7,353,33.7,3427.7,No
4901,Vermont,VT,Northeast,2018,M,Doctorate,8,104,34.5,3449.9,No
4902,Vermont,VT,Northeast,2018,M,Not Stated,9,18,28.9,3548.1,No
4903,Vermont,VT,Northeast,2019,F,8th grade or less,1,27,29.6,3179.9,No
4904,Vermont,VT,Northeast,2019,F,9th through 12th grade,2,155,24.5,3102.6,No
4905,Vermont,VT,Northeast,2019,F,High school graduate,3,624,26.8,3209.6,No
4906,Vermont,VT,Northeast,2019,F,Some college credit,4,462,28.5,3277,No
4907,Vermont,VT,Northeast,2019,F,Associate degree,5,171,30.1,3235.8,No
4908,Vermont,VT,Northeast,2019,F,Bachelor's degree,6,668,31.9,3356.1,No
4909,Vermont,VT,Northeast,2019,F,Master's degree,7,394,33.7,3347.4,No
4910,Vermont,VT,Northeast,2019,F,Doctorate,8,93,35.1,3331.1,No
4911,Vermont,VT,Northeast,2019,F,Not Stated,9,13,31.3,3117.5,No
4912,Vermont,VT,Northeast,2019,M,8th grade or less,1,21,30,3330.2,No
4913,Vermont,VT,Northeast,2019,M,9th through 12th grade,2,162,24.9,3121.1,No
4914,Vermont,VT,Northeast,2019,M,High school graduate,3,630,26.9,3334.1,No
4915,Vermont,VT,Northeast,2019,M,Some college credit,4,525,28.6,3433.5,No
4916,Vermont,VT,Northeast,2019,M,Associate degree,5,199,30.3,3490.2,No
4917,Vermont,VT,Northeast,2019,M,Bachelor's degree,6,681,32,3447.4,No
4918,Vermont,VT,Northeast,2019,M,Master's degree,7,403,33.7,3458,No
4919,Vermont,VT,Northeast,2019,M,Doctorate,8,114,34.2,3409.7,No
4920,Vermont,VT,Northeast,2019,M,Not Stated,9,19,27.7,3330,No
4921,Vermont,VT,Northeast,2020,F,8th grade or less,1,21,30.2,3255.5,No
4922,Vermont,VT,Northeast,2020,F,9th through 12th grade,2,173,25.2,3086.9,Yes
4923,Vermont,VT,Northeast,2020,F,High school graduate,3,578,27.1,3163.6,No
4924,Vermont,VT,Northeast,2020,F,Some college credit,4,435,28.9,3216,No
4925,Vermont,VT,Northeast,2020,F,Associate degree,5,176,30.4,3317.8,No
4926,Vermont,VT,Northeast,2020,F,Bachelor's degree,6,634,32.4,3377.4,No
4927,Vermont,VT,Northeast,2020,F,Master's degree,7,382,33.9,3355,No
4928,Vermont,VT,Northeast,2020,F,Doctorate,8,110,35.2,3303.2,No
4929,Vermont,VT,Northeast,2020,F,Not Stated,9,14,30.4,3101.5,No
4930,Vermont,VT,Northeast,2020,M,8th grade or less,1,27,30.3,3312.8,No
4931,Vermont,VT,Northeast,2020,M,9th through 12th grade,2,160,24.4,3191.8,No
4932,Vermont,VT,Northeast,2020,M,High school graduate,3,623,27,3324,No
4933,Vermont,VT,Northeast,2020,M,Some college credit,4,479,28.9,3406.6,No
4934,Vermont,VT,Northeast,2020,M,Associate degree,5,184,30.8,3419.6,No
4935,Vermont,VT,Northeast,2020,M,Bachelor's degree,6,635,32.2,3505.3,No
4936,Vermont,VT,Northeast,2020,M,Master's degree,7,368,33.8,3430.6,No
4937,Vermont,VT,Northeast,2020,M,Doctorate,8,119,34.4,3347.9,No
4938,Vermont,VT,Northeast,2020,M,Not Stated,9,15,31.1,3100.7,No
4939,Vermont,VT,Northeast,2021,F,8th grade or less,1,16,30.1,3402.4,No
4940,Vermont,VT,Northeast,2021,F,9th through 12th grade,2,150,24.8,3140.2,No
4941,Vermont,VT,Northeast,2021,F,High school graduate,3,544,27.2,3254.4,No
4942,Vermont,VT,Northeast,2021,F,Some college credit,4,444,29.1,3247,No
4943,Vermont,VT,Northeast,2021,F,Associate degree,5,212,30.4,3261.3,No
4944,Vermont,VT,Northeast,2021,F,Bachelor's degree,6,721,32.5,3382.8,No
4945,Vermont,VT,Northeast,2021,F,Master's degree,7,430,33.6,3373.7,No
4946,Vermont,VT,Northeast,2021,F,Doctorate,8,112,34.1,3264.4,No
4947,Vermont,VT,Northeast,2021,F,Not Stated,9,15,29.8,2451.9,Yes
4948,Vermont,VT,Northeast,2021,M,8th grade or less,1,27,31.3,3433,No
4949,Vermont,VT,Northeast,2021,M,9th through 12th grade,2,161,24.5,3159.9,No
4950,Vermont,VT,Northeast,2021,M,High school graduate,3,571,27.6,3361.2,No
4951,Vermont,VT,Northeast,2021,M,Some college credit,4,494,28.8,3357.2,No
4952,Vermont,VT,Northeast,2021,M,Associate degree,5,188,30.7,3426.8,No
4953,Vermont,VT,Northeast,2021,M,Bachelor's degree,6,776,32.4,3477.3,No
4954,Vermont,VT,Northeast,2021,M,Master's degree,7,410,34,3501.1,No
4955,Vermont,VT,Northeast,2021,M,Doctorate,8,103,34.9,3489.3,No
4956,Vermont,VT,Northeast,2021,M,Not Stated,9,10,33,3067.9,Yes
4957,Virginia,VA,Southeast,2016,F,8th grade or less,1,1515,29.9,3224.4,No
4958,Virginia,VA,Southeast,2016,F,9th through 12th grade,2,3278,25.4,3126,No
4959,Virginia,VA,Southeast,2016,F,High school graduate,3,13141,26.6,3159,No
4960,Virginia,VA,Southeast,2016,F,Some college credit,4,9430,28.1,3225.2,No
4961,Virginia,VA,Southeast,2016,F,Associate degree,5,3451,29.8,3235,No
4962,Virginia,VA,Southeast,2016,F,Bachelor's degree,6,11229,31.6,3284.5,No
4963,Virginia,VA,Southeast,2016,F,Master's degree,7,6164,33,3263.9,No
4964,Virginia,VA,Southeast,2016,F,Doctorate,8,1732,34,3249.5,No
4965,Virginia,VA,Southeast,2016,F,Not Stated,9,461,29.9,3180.2,No
4966,Virginia,VA,Southeast,2016,M,8th grade or less,1,1530,29.9,3325.1,No
4967,Virginia,VA,Southeast,2016,M,9th through 12th grade,2,3368,25.5,3219.7,No
4968,Virginia,VA,Southeast,2016,M,High school graduate,3,13602,26.6,3276.7,No
4969,Virginia,VA,Southeast,2016,M,Some college credit,4,9365,28.1,3339.2,No
4970,Virginia,VA,Southeast,2016,M,Associate degree,5,3478,29.7,3346,No
4971,Virginia,VA,Southeast,2016,M,Bachelor's degree,6,11875,31.5,3398.2,No
4972,Virginia,VA,Southeast,2016,M,Master's degree,7,6568,33,3391.7,No
4973,Virginia,VA,Southeast,2016,M,Doctorate,8,1756,34,3372.8,No
4974,Virginia,VA,Southeast,2016,M,Not Stated,9,517,29.8,3171.2,No
4975,Virginia,VA,Southeast,2017,F,8th grade or less,1,1393,29.9,3216.2,No
4976,Virginia,VA,Southeast,2017,F,9th through 12th grade,2,3128,25.5,3108.4,No
4977,Virginia,VA,Southeast,2017,F,High school graduate,3,12879,26.6,3150.3,No
4978,Virginia,VA,Southeast,2017,F,Some college credit,4,8770,28.2,3203.8,No
4979,Virginia,VA,Southeast,2017,F,Associate degree,5,3430,29.8,3243.3,No
4980,Virginia,VA,Southeast,2017,F,Bachelor's degree,6,11045,31.6,3276.6,No
4981,Virginia,VA,Southeast,2017,F,Master's degree,7,6225,33,3269.8,No
4982,Virginia,VA,Southeast,2017,F,Doctorate,8,1641,34.2,3248,No
4983,Virginia,VA,Southeast,2017,F,Not Stated,9,509,29.8,3106.4,No
4984,Virginia,VA,Southeast,2017,M,8th grade or less,1,1447,29.8,3330.6,No
4985,Virginia,VA,Southeast,2017,M,9th through 12th grade,2,3298,25.4,3198.4,No
4986,Virginia,VA,Southeast,2017,M,High school graduate,3,13476,26.6,3272.4,No
4987,Virginia,VA,Southeast,2017,M,Some college credit,4,9287,28.2,3320.4,No
4988,Virginia,VA,Southeast,2017,M,Associate degree,5,3649,29.9,3323.3,No
4989,Virginia,VA,Southeast,2017,M,Bachelor's degree,6,11382,31.5,3403.5,No
4990,Virginia,VA,Southeast,2017,M,Master's degree,7,6508,33.1,3383.2,No
4991,Virginia,VA,Southeast,2017,M,Doctorate,8,1828,34.3,3375.2,No
4992,Virginia,VA,Southeast,2017,M,Not Stated,9,496,30.1,3204.6,No
4993,Virginia,VA,Southeast,2018,F,8th grade or less,1,1395,30.1,3214.2,No
4994,Virginia,VA,Southeast,2018,F,9th through 12th grade,2,2875,25.5,3110.5,No
4995,Virginia,VA,Southeast,2018,F,High school graduate,3,13045,26.8,3159.9,No
4996,Virginia,VA,Southeast,2018,F,Some college credit,4,8429,28.4,3202.1,No
4997,Virginia,VA,Southeast,2018,F,Associate degree,5,3341,30.2,3228.4,No
4998,Virginia,VA,Southeast,2018,F,Bachelor's degree,6,11010,31.6,3290.7,No
4999,Virginia,VA,Southeast,2018,F,Master's degree,7,6271,33.2,3283.2,No
5000,Virginia,VA,Southeast,2018,F,Doctorate,8,1700,34.3,3264.6,No
5001,Virginia,VA,Southeast,2018,F,Not Stated,9,563,29.8,3111.5,No
5002,Virginia,VA,Southeast,2018,M,8th grade or less,1,1435,30,3311.9,No
5003,Virginia,VA,Southeast,2018,M,9th through 12th grade,2,3062,25.4,3193.4,No
5004,Virginia,VA,Southeast,2018,M,High school graduate,3,13601,26.9,3261.4,No
5005,Virginia,VA,Southeast,2018,M,Some college credit,4,8868,28.4,3325.8,No
5006,Virginia,VA,Southeast,2018,M,Associate degree,5,3743,30.1,3336.9,No
5007,Virginia,VA,Southeast,2018,M,Bachelor's degree,6,11562,31.6,3405.8,No
5008,Virginia,VA,Southeast,2018,M,Master's degree,7,6524,33.2,3401.6,No
5009,Virginia,VA,Southeast,2018,M,Doctorate,8,1760,34.3,3368.1,No
5010,Virginia,VA,Southeast,2018,M,Not Stated,9,659,30.2,3219.3,No
5011,Virginia,VA,Southeast,2019,F,8th grade or less,1,1347,29.7,3208.1,No
5012,Virginia,VA,Southeast,2019,F,9th through 12th grade,2,2706,25.4,3117.7,No
5013,Virginia,VA,Southeast,2019,F,High school graduate,3,12725,26.9,3148.3,No
5014,Virginia,VA,Southeast,2019,F,Some college credit,4,8058,28.6,3195,No
5015,Virginia,VA,Southeast,2019,F,Associate degree,5,3457,30,3207.9,No
5016,Virginia,VA,Southeast,2019,F,Bachelor's degree,6,10801,31.6,3273.5,No
5017,Virginia,VA,Southeast,2019,F,Master's degree,7,6155,33.3,3249,No
5018,Virginia,VA,Southeast,2019,F,Doctorate,8,1575,34.6,3241.3,No
5019,Virginia,VA,Southeast,2019,F,Not Stated,9,730,30.1,3131.3,No
5020,Virginia,VA,Southeast,2019,M,8th grade or less,1,1396,29.5,3329.7,No
5021,Virginia,VA,Southeast,2019,M,9th through 12th grade,2,2745,25.6,3222.7,No
5022,Virginia,VA,Southeast,2019,M,High school graduate,3,13263,26.7,3253.2,No
5023,Virginia,VA,Southeast,2019,M,Some college credit,4,8500,28.5,3320.2,No
